location_id,destination,date,month,max_temp_f,min_temp_f,precipitation_in,avg_humidity_pct,avg_temp_f,rain_in,rainy_day,max_wind_speed_mph,max_wind_gust_mph
0,Bangkok,2025-07-30,July,90,77.3,0.224,83,81.6,0.224,Yes,8.1,21.3
0,Bangkok,2025-07-31,July,90.8,77.7,0.114,77,83.9,0.114,Yes,7,21.9
0,Bangkok,2025-08-01,August,91.7,78,0.031,76,84.5,0.031,Yes,7.5,20.8
0,Bangkok,2025-08-02,August,92.1,78.8,0,75,85.4,0,No,6.7,17.2
0,Bangkok,2025-08-03,August,93.6,78.7,0,74,85.8,0,No,8.3,20.1
0,Bangkok,2025-08-04,August,95.4,80.1,0,70,87.2,0,No,7.4,18.3
0,Bangkok,2025-08-05,August,95.5,80.5,0.008,67,87.7,0.008,Yes,6.3,20.8
0,Bangkok,2025-08-06,August,95.9,79,0.374,76,84.4,0.374,Yes,7.9,21.5
0,Bangkok,2025-08-07,August,91.7,79.1,0.016,77,84.7,0.016,Yes,8.8,24.2
0,Bangkok,2025-08-08,August,90.1,78.9,0.11,76,83.8,0.11,Yes,10.2,20.6
0,Bangkok,2025-08-09,August,94.4,78.6,0.067,72,84.9,0.067,Yes,9.6,27.1
0,Bangkok,2025-08-10,August,93.2,79.6,0.024,67,85.7,0.024,Yes,9.1,27.1
0,Bangkok,2025-08-11,August,87.9,77.3,0.417,80,82,0.417,Yes,7,21.3
0,Bangkok,2025-08-12,August,89.3,77.2,0.043,78,83.1,0.043,Yes,7.7,20.6
0,Bangkok,2025-08-13,August,89,76,0.193,77,82.3,0.193,Yes,6.2,17.2
0,Bangkok,2025-08-14,August,91.7,76.9,0.122,76,83.1,0.122,Yes,7.4,20.1
0,Bangkok,2025-08-15,August,89.2,77.5,0.575,81,82,0.575,Yes,9.5,21.7
0,Bangkok,2025-08-16,August,84.7,75.5,0.307,86,79.5,0.307,Yes,6.8,18.8
0,Bangkok,2025-08-17,August,83.8,75.3,0.047,80,79.8,0.047,Yes,5.8,12.1
0,Bangkok,2025-08-18,August,89.9,76.9,0.205,82,80.9,0.205,Yes,6.8,18.1
0,Bangkok,2025-08-19,August,85.8,76.3,0.291,85,80.9,0.291,Yes,5.1,18.6
0,Bangkok,2025-08-20,August,91.7,77.5,0.039,78,83.1,0.039,Yes,8.1,20.1
0,Bangkok,2025-08-21,August,92.3,75.8,0.528,81,82.3,0.528,Yes,8.5,19.7
0,Bangkok,2025-08-22,August,85.9,76.6,0.744,88,79.6,0.744,Yes,8,21
0,Bangkok,2025-08-23,August,88.3,75.8,0.728,84,80,0.728,Yes,8,21.7
0,Bangkok,2025-08-24,August,87.7,76.5,0.524,84,80.4,0.524,Yes,6,20.1
0,Bangkok,2025-08-25,August,87.4,76.6,0.469,84,80.7,0.469,Yes,7.6,21.9
0,Bangkok,2025-08-26,August,86.2,76.8,0.657,84,80.2,0.657,Yes,8.4,24.4
0,Bangkok,2025-08-27,August,86.3,76.4,0.079,81,80.5,0.079,Yes,6,22.8
0,Bangkok,2025-08-28,August,88.8,77,0.059,76,82.3,0.059,Yes,9,25.1
0,Bangkok,2025-08-29,August,91.6,77.9,0,71,84.1,0,No,8.4,22.8
0,Bangkok,2025-08-30,August,92,77.5,0.059,76,83.6,0.059,Yes,8.4,21.9
0,Bangkok,2025-08-31,August,87.3,75.6,0.528,88,80.1,0.528,Yes,6.3,20.6
0,Bangkok,2025-09-01,September,88,77.2,0.311,83,82.1,0.311,Yes,7.4,15.7
0,Bangkok,2025-09-02,September,87.3,78.4,0.13,82,82.2,0.13,Yes,4.8,16.1
0,Bangkok,2025-09-03,September,87.5,76.9,0.102,83,81,0.102,Yes,6,16.1
0,Bangkok,2025-09-04,September,86.9,76.6,0.52,88,80.5,0.52,Yes,6.3,14.5
0,Bangkok,2025-09-05,September,90.1,77.7,0.098,83,81.9,0.098,Yes,5.7,15.9
0,Bangkok,2025-09-06,September,88.8,76.3,0.728,88,81.1,0.728,Yes,4.4,16.8
0,Bangkok,2025-09-07,September,87.8,76.3,0.969,88,80.7,0.969,Yes,5.9,16.8
0,Bangkok,2025-09-08,September,84.6,77.4,0.768,88,79.8,0.768,Yes,7.5,21
0,Bangkok,2025-09-09,September,85.5,75.9,0.677,87,80.2,0.677,Yes,9.8,24.2
0,Bangkok,2025-09-10,September,83.6,76.8,0.118,88,79.7,0.118,Yes,7.1,16.1
0,Bangkok,2025-09-11,September,88.5,78.2,0.043,83,82.9,0.043,Yes,4.5,14.5
0,Bangkok,2025-09-12,September,89.7,77.1,0.398,86,82.4,0.398,Yes,4.9,13.6
0,Bangkok,2025-09-13,September,91.7,75.6,0.142,83,82.4,0.142,Yes,4.9,15
0,Bangkok,2025-09-14,September,86.4,76.5,0.091,85,81,0.091,Yes,5.6,16.1
0,Bangkok,2025-09-15,September,87.9,76.3,0.161,84,81.2,0.161,Yes,7.6,19.5
0,Bangkok,2025-09-16,September,88.7,77.8,0.016,84,81.8,0.016,Yes,5.4,13.4
0,Bangkok,2025-09-17,September,89.3,76.8,0.543,86,81.4,0.543,Yes,6,18.3
0,Bangkok,2025-09-18,September,89.2,77.1,0.283,84,81.4,0.283,Yes,6.4,17.7
0,Bangkok,2025-09-19,September,85.4,78.3,0.307,85,80.9,0.307,Yes,9,19.9
0,Bangkok,2025-09-20,September,87,78.9,0.173,81,82.6,0.173,Yes,8.2,23.3
0,Bangkok,2025-09-21,September,87.6,77.2,0.677,80,82.2,0.677,Yes,6.8,22.1
0,Bangkok,2025-09-22,September,89.1,78.4,0.098,77,83.2,0.098,Yes,6.4,21.7
0,Bangkok,2025-09-23,September,87.2,78.8,0.106,82,82.1,0.106,Yes,6.9,22.1
0,Bangkok,2025-09-24,September,86,78,0.165,82,81.4,0.165,Yes,7.1,23.5
0,Bangkok,2025-09-25,September,87.6,78.3,0.236,82,81.9,0.236,Yes,6.4,21.7
0,Bangkok,2025-09-26,September,85.8,75.9,0.807,87,80.1,0.807,Yes,6.4,18.6
0,Bangkok,2025-09-27,September,85.7,75.6,0.61,90,78.8,0.61,Yes,5.9,19
0,Bangkok,2025-09-28,September,89.2,76.6,0.15,82,81.8,0.15,Yes,5.2,13
0,Bangkok,2025-09-29,September,89.2,77.5,0.244,81,82.2,0.244,Yes,8.3,22.6
0,Bangkok,2025-09-30,September,84.6,76.4,0.717,88,79.6,0.717,Yes,9.4,23
0,Bangkok,2025-10-01,October,88,77.4,0.035,84,82.1,0.035,Yes,6,16.1
